density,burned,seed
20.0,85.0,-385257392
50.0,1144.0,-32651971
50.0,690.0,1363712511
50.0,736.0,-1192777649
50.0,522.0,691065344
50.0,717.0,42530177
50.0,1061.0,-1752970412
50.0,802.0,69490218
50.0,665.0,-1694704553
50.0,924.0,2147380641
50.0,1228.0,-1392149471
80.0,50137.0,1819334154
80.0,50171.0,297029692
80.0,49845.0,715400405
80.0,50126.0,-2002845165
80.0,50024.0,-936121090
80.0,50016.0,2125953184
80.0,50101.0,709057701
80.0,49943.0,-1539025709
80.0,50160.0,-8655368
80.0,50115.0,1530990312
70.0,43056.0,-2117254615
70.0,42961.0,1113494364
70.0,43073.0,-396478944
70.0,42982.0,-1291554050
70.0,43266.0,1126228322
70.0,43277.0,1155788171
70.0,43031.0,504419321
70.0,43237.0,4472112
70.0,43250.0,944635289
70.0,43076.0,-1874017019
60.0,25161.0,534496416
60.0,25092.0,1419281065
60.0,21481.0,-905139261
60.0,25735.0,1962702773
60.0,29874.0,-501188140
60.0,19824.0,718731958
60.0,26897.0,1231243076
60.0,26182.0,17734185
60.0,21361.0,-1443431807
60.0,23523.0,-1806424576
20.0,77.0,747981363
20.0,72.0,1239693973
20.0,67.0,733396720
20.0,90.0,-2079773330
20.0,83.0,1468919795
20.0,63.0,1155565009
20.0,63.0,739532666
20.0,81.0,-768806958
30.0,170.0,1789774527
30.0,103.0,1654290590
30.0,181.0,1936215549
30.0,138.0,1140938430
30.0,142.0,1220240565
30.0,139.0,1908107882
30.0,91.0,833620266
30.0,109.0,1256071618
30.0,132.0,-1725029884
30.0,107.0,-223193445
20.0,55.0,1228733140
40.0,246.0,723594498
40.0,305.0,-2080408482
40.0,366.0,483080611
40.0,220.0,1782825749
40.0,276.0,-783507164
40.0,310.0,1530520061
40.0,240.0,210561869
40.0,302.0,1583785537
40.0,309.0,711673026
40.0,232.0,-1514119482
